Index,SampleID,Species,Project,SampleSite,Site,SiteWaypoint,Valley,CollectionYear,CollectionDate,WaypointName,NameGroup,UTMzone,Easting,Northing,Habitat,Collector,Affiliation,LibPrepYear,PreppedBy,Library,Well,Notes,RangeWidePhylo,RangeWidePopGen,JSWC
98,C15_07,Relict dace,Johnson Springs Wetland Complex,Channel 15,GSJS,GSJS_C15,Goshute Valley,2019,,C15,Cnorth,11,710507.1706,4538715.002,,Sarah Epstein,SWCA,2022,Melanie LaCava,2,B1,,,,Y
99,C15_08,Relict dace,Johnson Springs Wetland Complex,Channel 15,GSJS,GSJS_C15,Goshute Valley,2019,,C15,Cnorth,11,710507.1706,4538715.002,,Sarah Epstein,SWCA,2022,Melanie LaCava,2,C1,,,,Y
100,C15_09,Relict dace,Johnson Springs Wetland Complex,Channel 15,GSJS,GSJS_C15,Goshute Valley,2019,,C15,Cnorth,11,710507.1706,4538715.002,,Sarah Epstein,SWCA,2022,Melanie LaCava,2,D1,,,,Y
101,C15_10,Relict dace,Johnson Springs Wetland Complex,Channel 15,GSJS,GSJS_C15,Goshute Valley,2019,,C15,Cnorth,11,710507.1706,4538715.002,,Sarah Epstein,SWCA,2022,Melanie LaCava,2,E1,,,,Y
102,JR4_14,Relict dace,Johnson Springs Wetland Complex,Johnson Reservoir 4,GSJS,GSJS_JR4,Goshute Valley,2019,,JR4,JR,11,710205.36,4537886.16,,Sarah Epstein,SWCA,2022,Melanie LaCava,2,F1,,,,Y
103,C15_12,Relict dace,Johnson Springs Wetland Complex,Channel 15,GSJS,GSJS_C15,Goshute Valley,2019,,C15,Cnorth,11,710507.1706,4538715.002,,Sarah Epstein,SWCA,2022,Melanie LaCava,2,G1,,,,Y
104,C15_13,Relict dace,Johnson Springs Wetland Complex,Channel 15,GSJS,GSJS_C15,Goshute Valley,2019,,C15,Cnorth,11,710507.1706,4538715.002,,Sarah Epstein,SWCA,2022,Melanie LaCava,2,H1,,,,Y
105,C15_14,Relict dace,Johnson Springs Wetland Complex,Channel 15,GSJS,GSJS_C15,Goshute Valley,2019,,C15,Cnorth,11,710507.1706,4538715.002,,Sarah Epstein,SWCA,2022,Melanie LaCava,2,A2,,,,Y
106,C15_15,Relict dace,Johnson Springs Wetland Complex,Channel 15,GSJS,GSJS_C15,Goshute Valley,2019,,C15,Cnorth,11,710507.1706,4538715.002,,Sarah Epstein,SWCA,2022,Melanie LaCava,2,B2,,,,Y
107,C16_01,Relict dace,Johnson Springs Wetland Complex,Channel 16,GSJS,GSJS_C16,Goshute Valley,2019,,C16,Cnorth,11,710576.1128,4538630.563,,Sarah Epstein,SWCA,2022,Melanie LaCava,2,C2,,,,Y
108,C16_02,Relict dace,Johnson Springs Wetland Complex,Channel 16,GSJS,GSJS_C16,Goshute Valley,2019,,C16,Cnorth,11,710576.1128,4538630.563,,Sarah Epstein,SWCA,2022,Melanie LaCava,2,D2,,,,Y
109,C16_03,Relict dace,Johnson Springs Wetland Complex,Channel 16,GSJS,GSJS_C16,Goshute Valley,2019,,C16,Cnorth,11,710576.1128,4538630.563,,Sarah Epstein,SWCA,2022,Melanie LaCava,2,E2,,,,Y
