SampleID,Path,Species,Project,SampleSite,Valley,CollectionYear,CollectionDate,WaypointName,UTMzone,Easting,Northing,Habitat,Collector,Affiliation,LibPrepYear,PreppedBy,Library,Well,Notes
STR_14,/home/mlacava/align/RAD_alignments/STR_14_sorted_proper_rmdup.bam,Relict dace,NA,Stratton Ranch,Butte Valley,2019,10/10/19,STR,11,671599,4442350,Spring Channel,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,C5,NA
STR_15,/home/mlacava/align/RAD_alignments/STR_15_sorted_proper_rmdup.bam,Relict dace,NA,Stratton Ranch,Butte Valley,2019,10/10/19,STR,11,671599,4442350,Spring Channel,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,D5,NA
RD_BTOC_001,/home/mlacava/align/RAD_alignments/RD_BTOC_001_sorted_proper_rmdup.bam,Relict Dace,NA,Odger's Creek,Butte Valley,2017,6/21/17,RD030A,11,669906,4450701,NA,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,C4,NA
RD_BTOC_002,/home/mlacava/align/RAD_alignments/RD_BTOC_002_sorted_proper_rmdup.bam,Relict Dace,NA,Odger's Creek,Butte Valley,2017,6/21/17,RD030A,11,669906,4450701,NA,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,D4,NA
RD_BTOC_003,/home/mlacava/align/RAD_alignments/RD_BTOC_003_sorted_proper_rmdup.bam,Relict Dace,NA,Odger's Creek,Butte Valley,2017,6/21/17,RD030A,11,669906,4450701,NA,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,E4,NA
RD_BTOC_004,/home/mlacava/align/RAD_alignments/RD_BTOC_004_sorted_proper_rmdup.bam,Relict Dace,NA,Odger's Creek,Butte Valley,2017,6/21/17,RD030A,11,669906,4450701,NA,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,F4,NA
RD_BTOC_005,/home/mlacava/align/RAD_alignments/RD_BTOC_005_sorted_proper_rmdup.bam,Relict Dace,NA,Odger's Creek,Butte Valley,2017,6/21/17,RD030A,11,669906,4450701,NA,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,G4,NA
RD_BTOC_006,/home/mlacava/align/RAD_alignments/RD_BTOC_006_sorted_proper_rmdup.bam,Relict Dace,NA,Odger's Creek,Butte Valley,2017,6/21/17,RD030B,11,669838,4451561,NA,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,H4,NA
RD_BTOC_007,/home/mlacava/align/RAD_alignments/RD_BTOC_007_sorted_proper_rmdup.bam,Relict Dace,NA,Odger's Creek,Butte Valley,2017,6/21/17,RD030B,11,669838,4451561,NA,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,A5,NA
RD_BTOC_008,/home/mlacava/align/RAD_alignments/RD_BTOC_008_sorted_proper_rmdup.bam,Relict Dace,NA,Odger's Creek,Butte Valley,2017,6/21/17,RD030B,11,669838,4451561,NA,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,B5,NA
RD_BTOC_009,/home/mlacava/align/RAD_alignments/RD_BTOC_009_sorted_proper_rmdup.bam,Relict Dace,NA,Odger's Creek,Butte Valley,2017,6/21/17,RD030B,11,669838,4451561,NA,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,C5,NA
RD_BTOC_010,/home/mlacava/align/RAD_alignments/RD_BTOC_010_sorted_proper_rmdup.bam,Relict Dace,NA,Odger's Creek,Butte Valley,2017,6/21/17,RD030B,11,669838,4451561,NA,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,D5,NA
RD_BTOC_011,/home/mlacava/align/RAD_alignments/RD_BTOC_011_sorted_proper_rmdup.bam,Relict Dace,NA,Odger's Creek,Butte Valley,2017,6/21/17,RD030B,11,669838,4451561,NA,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,E5,NA
RD_BTOC_012,/home/mlacava/align/RAD_alignments/RD_BTOC_012_sorted_proper_rmdup.bam,Relict Dace,NA,Odger's Creek,Butte Valley,2017,6/21/17,RD030B,11,669838,4451561,NA,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 2,C4,NA
RD_BTOC_013,/home/mlacava/align/RAD_alignments/RD_BTOC_013_sorted_proper_rmdup.bam,Relict Dace,NA,Odger's Creek,Butte Valley,2017,6/21/17,RD30C,11,668668,4454855,NA,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 2,D4,NA
RD_BTOC_014,/home/mlacava/align/RAD_alignments/RD_BTOC_014_sorted_proper_rmdup.bam,Relict Dace,NA,Odger's Creek,Butte Valley,2017,6/21/17,RD30C,11,668668,4454855,NA,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 2,E4,NA
RD_BTOC_015,/home/mlacava/align/RAD_alignments/RD_BTOC_015_sorted_proper_rmdup.bam,Relict Dace,NA,Odger's Creek,Butte Valley,2017,6/21/17,RD30C,11,668668,4454855,NA,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 2,F4,NA
RD_BTOC_016,/home/mlacava/align/RAD_alignments/RD_BTOC_016_sorted_proper_rmdup.bam,Relict Dace,NA,Odger's Creek,Butte Valley,2017,6/21/17,RD30C,11,668668,4454855,NA,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 2,G4,NA
RD_BTOC_017,/home/mlacava/align/RAD_alignments/RD_BTOC_017_sorted_proper_rmdup.bam,Relict Dace,NA,Odger's Creek,Butte Valley,2017,6/21/17,RD30C,11,668668,4454855,NA,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 2,H4,NA
RD_BTOC_018,/home/mlacava/align/RAD_alignments/RD_BTOC_018_sorted_proper_rmdup.bam,Relict Dace,NA,Odger's Creek,Butte Valley,2017,6/21/17,RD30C,11,668668,4454855,NA,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 2,A5,NA
RD_BTOC_019,/home/mlacava/align/RAD_alignments/RD_BTOC_019_sorted_proper_rmdup.bam,Relict Dace,NA,Odger's Creek,Butte Valley,2017,6/21/17,RD30C,11,668668,4454855,NA,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 2,B5,NA
RD_BTOC_020,/home/mlacava/align/RAD_alignments/RD_BTOC_020_sorted_proper_rmdup.bam,Relict Dace,NA,Odger's Creek,Butte Valley,2017,6/21/17,RD30C,11,668668,4454855,NA,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 2,C5,NA
